,#,Full Name,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL
138,10,Natalie Fraley,portland,G,6-0,Sr.,"Kelso, WA",Utah State / Kelso HS,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90
139,12,Brynn Smith,portland,G,6-0,Fr.,"Eugene, OR",Willamette HS,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90
140,14,Caitlin Monahan,portland,G,5-10,R-Fr.,"Mercer Island, WA",Mercer Island HS,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90
141,17,Nicole Anderson,portland,G,5-8,Gr.,"Eastvale, CA",LMU / SMU / Rosary Academy,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90
142,20,Lainey Spear,portland,F,6-2,Jr.,"Portland, OR",Beaverton HS,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90
143,22,Rhyan Mogel,portland,G,5-10,Jr.,"Happy Valley, OR",Clackamas HS,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90
144,35,Camille Dake,portland,G,6-0,Fr.,"Vista, CA",Rancho Buena Vista HS,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90
145,42,Ella Zimmerman,portland,F/C,6-4,So.,"Redondo Beach, CA",Redondo Union HS,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90
146,44,Julia Dalan,portland,C/F,6-3,Fr.,"Centralia, WA",W.F. West HS,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90
147,0,Ysabella Von Seipler,san diego,G,5-10,Fr.,"Rocklin, CA",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=300
148,1,Dresha Moore,san diego,F,6-0,So.,"Hawthorne, CA",,https://usdtoreros.com/images/2025/10/15/Dresha_Moore_Headshot.png?width=80&quality=90
149,2,Ryanne Bahnsen-Price,san diego,F,6-0,Fr.,"Erie, CO",,https://usdtoreros.com/images/2025/10/15/Ryanne_Bahnsen-Price_Head_Shot.png?width=300
150,3,Lilly Amor,san diego,G,5-11,So.,"Melbourne, Victoria, Australia",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=80&quality=90
151,4,Jessica Ajayi,san diego,G,5-10,Fr.,"Kent, WA",,https://usdtoreros.com/images/2025/10/15/Jessica_Ajayi_Head_Shot.png?width=80&quality=90
152,5,Lauren McCall,san diego,G,5-6,Jr.,"Boise, ID",,https://usdtoreros.com/images/2025/10/15/Lauren_McCall_Head_Shot.png?width=80&quality=90
153,6,Kylie Ray,san diego,G,5-8,So.,"La Crescenta, CA",Utah,https://usdtoreros.com/images/2025/10/15/Kylie_Ray_Head_Shot.png?width=80&quality=90
154,10,Helen Holley,san diego,F,6-1,So.,"Cleveland, OH",Michigan State,https://usdtoreros.com/images/2025/10/15/Helen_Holley_Head_Shot.png?width=80&quality=90
155,11,Malia Tharpe,san diego,F,6-0,Jr.,"Cottesloe, Western Australia, Australia",,https://usdtoreros.com/images/2025/10/15/Malia_Tharpe_Head_Shot.png?width=80&quality=90
156,12,Erica Carr,san diego,C,6-3,So.,"Grand Prairie, TX",,https://usdtoreros.com/images/2025/10/15/Erica_Carr_Headshot.png?width=80&quality=90
157,15,Eva Ruse,san diego,F,6-2,So.,"North Vancouver, British Columbia, Canada",,https://usdtoreros.com/images/2025/10/15/Eva_Ruse_Headshot.png?width=80&quality=90
158,19,Jayden Rhodes,san diego,G,5-11,Sr.,"Keller, TX",Morehead State,https://usdtoreros.com/images/2025/10/15/Jayden_Rhodes_Head_Shot.png?width=80&quality=90
159,20,Hallie Rhodes,san diego,G,5-11,Sr.,"Keller, TX",Morehead State,https://usdtoreros.com/images/2025/10/15/Hallie_Rhodes_Head_Shot.png?width=80&quality=90
160,22,Ayla Williams,san diego,C,6-0,Fr.,"Las Vegas, NV",,https://usdtoreros.com/images/2025/10/15/Ayla_Williams_Headshot.png?width=80&quality=90
161,24,Olivia Owens,san diego,G,5-10,Fr.,"Columbus, OH",,https://usdtoreros.com/images/2025/10/15/Olivia_Owens_Head_Shot.png?width=80&quality=90
