,#,Full Name,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL
32,12,Shorna Preston,pepperdine,F,6-1,Jr.,"Christchurch, New Zealand",Dodge City Community College,https://daitadul56i2n.cloudfront.net/images/2025/9/26/12_Shorna.jpg?width=80&quality=90
33,13,Meghan Fiso,pepperdine,G,5-10,Gr.,"Seattle, WA",San Diego State,https://daitadul56i2n.cloudfront.net/images/2025/9/26/13_meghan.jpg?width=80&quality=90
34,22,Lina Falk,pepperdine,G,6-2,Jr.,"Wolfenbüttel, Germany",Sacramento State,https://daitadul56i2n.cloudfront.net/images/2025/9/26/22_lina.jpg?width=80&quality=90
35,30,Seleh Harmon,pepperdine,G,5-10,Fr.,"Norman, OK",,https://daitadul56i2n.cloudfront.net/images/2025/9/26/30_seleh.jpg?width=80&quality=90
36,31,Irune Orio,pepperdine,F,6-2,Sr.,"Balmaseda, Spain",Sacramento State / Xavier,https://daitadul56i2n.cloudfront.net/images/2025/9/26/31_irune.jpg?width=80&quality=90
37,44,Zoe Shanahan,pepperdine,F,6-2,Fr.,"Melbourne, Australia",,https://daitadul56i2n.cloudfront.net/images/2025/9/26/44_Zoe.jpg?width=80&quality=90
38,1,Paige Lofing,gonzaga,G,5-9,Fr.,"Billings, MT",,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/paige_lofing-2059.JPG?width=80&quality=90
39,2,Vera Gunaydin,gonzaga,G,5-9,Sr.,"Ankara, Turkey",South Georgia Tech,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/vera_gunaydin-7778.JPG?width=80&quality=90
40,3,Julia Wilson,gonzaga,G,5-10,Fr.,"Temecula, CA",Rancho Christian HS,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/julia_wilson-7070.JPG?width=80&quality=90
41,4,Sierra Lichtie,gonzaga,F,6-0,Gr.,"Riverton, UT",Cal Poly,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/sierra_lichtie-8103.JPG?width=80&quality=90
42,8,Ines Bettencourt,gonzaga,G,5-9,Sr.,"Sao Miguel, Portugal",UConn,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/ines_bettencourt-6446.JPG?width=80&quality=90
