#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,ImageURL
23,Candy Edokpaigbe,San Francisco Dons,G,6-0,So.,"Naples, Italy",UserTeam4,91.0,30.33,6.0,10.0,3.0,26.33,15.0,4.33,1.33,2.0,1.67,1.33,2.33,2.33,3.67,5.67,9.0,5.0,1.67,8.0,2.67,79.0,45.0,13.0,4.0,6.0,5.0,11.0,17.0,27.0,4.0,7.0,7.0,12.0,4.0,Seattle U,candy edokpaigbe,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90
24,Sol Castro,San Francisco Dons,F,6-1,Gr.,"Rio Colorado, Argentina",UserTeam6,0.0,0.0,46.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Robert Morris,sol castro,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/24_Sol_Castro_Headshot.jpg?width=80&quality=90
32,Sophia Priestley,San Francisco Dons,F,6-2,Fr.,"Oslo, Norway",UserTeam1,12.0,4.0,31.5,110.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,1.0,0.33,2.0,0.67,12.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.67,Ullern IF Oslo,sophia priestley,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/32_Sophia_Priestley_Headshot.jpg?width=80&quality=90
1,Malvina Haziri,Washington State Cougars,G,5-9,Fr.,"Vushtrria, Kosovo",FreeAgent,16.0,5.33,67.0,107.0,3.0,12.33,2.0,1.0,1.0,0.0,0.0,0.67,1.67,0.0,0.0,0.67,1.67,1.0,0.33,2.0,0.67,37.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,KBF Prishtina,malvina haziri,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Haziri__Malvina.png?width=80&quality=90
2,Eleonora Villa,Washington State Cougars,G,5-8,Jr.,"Lissone, Italy",UserTeam4,107.0,26.75,3.0,6.0,4.0,36.5,18.5,2.0,2.5,1.5,0.25,1.25,4.0,2.25,3.25,7.5,14.25,1.0,0.25,7.0,1.75,146.0,74.0,8.0,10.0,6.0,1.0,13.0,30.0,57.0,5.0,16.0,9.0,12.0,3.0,Costa Masnaga,eleonora villa,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90
5,Jean Chiu,Washington State Cougars,G,5-7,Sr.,"Taipei, Taiwan",FreeAgent,-2.0,-0.5,97.5,159.5,4.0,4.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,University of Taipei,jean chiu,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chiu__Jean.png?width=80&quality=90
6,Tahara Magassa,Washington State Cougars,F,6-4,Fr.,"Paris, France",FreeAgent,0.0,0.0,46.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint-Amand Hainut,tahara magassa,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/wsu.sidearmsports.com/images/responsive_2020/logo_main.svg
8,Mackenzie Chatfield,Washington State Cougars,G,5-9,Jr.,"Auckland, New Zealand",FreeAgent,55.0,13.75,28.5,42.5,4.0,24.0,2.5,3.75,2.25,1.25,0.25,0.0,0.0,0.5,1.25,1.0,3.5,2.0,0.5,13.0,3.25,96.0,10.0,15.0,9.0,5.0,1.0,5.0,4.0,14.0,0.0,0.0,2.0,6.0,1.5,Western Kentucky,mackenzie chatfield,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90
9,Tanja Valancic,Washington State Cougars,F,6-0,Fr.,"Ljubljana, Slovenia",FreeAgent,40.0,10.0,17.0,66.0,4.0,22.0,4.25,3.75,1.75,1.0,0.0,0.75,2.25,1.5,2.0,1.0,4.0,5.0,1.25,10.0,2.5,88.0,17.0,15.0,7.0,4.0,0.0,8.0,4.0,16.0,3.0,9.0,6.0,8.0,2.0,Akson Ilirija,tanja valancic,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Valancic__Tanja.png?width=80&quality=90
10,Charlotte Abraham,Washington State Cougars,G,6-0,So.,"Cambrai, France",FreeAgent,40.0,10.0,45.0,66.0,4.0,25.5,9.5,6.5,1.75,0.25,0.0,1.25,6.25,2.25,2.25,3.0,9.25,6.0,1.5,20.0,5.0,102.0,38.0,26.0,7.0,1.0,0.0,9.0,12.0,37.0,5.0,25.0,9.0,12.0,3.0,Lycee Marguerite de Flandre,charlotte abraham,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Abraham__Charlotte.png?width=80&quality=90
12,Marta Alsina,Washington State Cougars,G,5-11,So.,"Barcelona, Spain",FreeAgent,33.0,8.25,52.0,78.0,4.0,18.25,3.75,2.0,0.5,1.25,0.5,0.5,1.75,0.25,1.5,1.5,4.25,0.0,0.0,8.0,2.0,73.0,15.0,8.0,2.0,5.0,2.0,6.0,6.0,17.0,2.0,7.0,1.0,3.0,0.75,Institut Joaquim Blume,marta alsina,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Alsina__Marta.png?width=80&quality=90
15,Keandra Koorits,Washington State Cougars,G/F,6-2,R-Fr.,"Tallinn, Estonia",FreeAgent,36.0,9.0,2.0,72.5,4.0,25.0,9.75,2.75,0.75,0.5,0.5,1.25,4.25,3.0,2.0,2.75,8.75,3.0,0.75,8.0,2.0,100.0,39.0,11.0,3.0,2.0,2.0,8.0,11.0,35.0,5.0,17.0,12.0,13.0,3.25,Audentes Sports Gymnasium,keandra koorits,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Koorits__Keandra.png?width=80&quality=90
