#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,ImageURL
2,Ryanne Bahnsen-Price,San Diego Toreros,F,6-0,Fr.,"Erie, CO",UserTeam1,0.0,0.0,46.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ryanne bahnsen-price,https://usdtoreros.com/images/2025/10/15/Ryanne_Bahnsen-Price_Head_Shot.png?width=300
3,Lilly Amor,San Diego Toreros,G,5-11,So.,"Melbourne, Victoria, Australia",UserTeam5,30.0,7.5,55.0,83.0,4.0,15.75,5.0,0.75,1.0,0.25,0.25,1.0,3.25,0.0,0.5,2.0,4.5,1.0,0.25,2.0,0.5,63.0,20.0,3.0,4.0,1.0,1.0,2.0,8.0,18.0,4.0,13.0,0.0,2.0,0.5,,lilly amor,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=80&quality=90
4,Jessica Ajayi,San Diego Toreros,G,5-10,Fr.,"Kent, WA",FreeAgent,33.0,16.5,52.0,78.0,2.0,14.0,4.0,3.5,3.0,1.0,0.5,0.5,3.0,0.5,1.0,1.5,4.5,2.0,1.0,5.0,2.5,28.0,8.0,7.0,6.0,2.0,1.0,2.0,3.0,9.0,1.0,6.0,1.0,2.0,1.0,,jessica ajayi,https://usdtoreros.com/images/2025/10/15/Jessica_Ajayi_Head_Shot.png?width=80&quality=90
5,Lauren McCall,San Diego Toreros,G,5-6,Jr.,"Boise, ID",UserTeam4,0.0,0.0,87.5,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,lauren mccall,https://usdtoreros.com/images/2025/10/15/Lauren_McCall_Head_Shot.png?width=80&quality=90
6,Kylie Ray,San Diego Toreros,G,5-8,So.,"La Crescenta, CA",UserTeam5,57.0,19.0,26.5,40.5,3.0,29.0,15.33,6.0,3.33,2.33,0.0,2.33,6.0,3.0,7.0,5.0,16.33,5.0,1.67,13.0,4.33,87.0,46.0,18.0,10.0,7.0,0.0,21.0,15.0,49.0,7.0,18.0,9.0,10.0,3.33,Utah,kylie ray,https://usdtoreros.com/images/2025/10/15/Kylie_Ray_Head_Shot.png?width=80&quality=90
10,Helen Holley,San Diego Toreros,F,6-1,So.,"Cleveland, OH",UserTeam6,47.0,11.75,15.0,58.0,4.0,21.75,2.75,4.75,0.25,1.5,1.5,0.25,1.5,0.5,1.5,1.0,4.25,9.0,2.25,10.0,2.5,87.0,11.0,19.0,1.0,6.0,6.0,6.0,4.0,17.0,1.0,6.0,2.0,6.0,1.5,Michigan State,helen holley,https://usdtoreros.com/images/2025/10/15/Helen_Holley_Head_Shot.png?width=80&quality=90
11,Malia Tharpe,San Diego Toreros,F,6-0,Jr.,"Cottesloe, Western Australia, Australia",FreeAgent,7.0,1.75,35.0,121.0,4.0,19.5,3.0,3.25,0.25,0.0,0.0,0.25,1.25,0.25,0.75,1.25,5.0,5.0,1.25,8.0,2.0,78.0,12.0,13.0,1.0,0.0,0.0,3.0,5.0,20.0,1.0,5.0,1.0,4.0,1.0,,malia tharpe,https://usdtoreros.com/images/2025/10/15/Malia_Tharpe_Head_Shot.png?width=80&quality=90
12,Erica Carr,San Diego Toreros,C,6-3,So.,"Grand Prairie, TX",FreeAgent,18.0,9.0,5.0,103.0,2.0,12.5,4.0,2.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.5,2.5,2.0,1.0,2.0,1.0,25.0,8.0,4.0,2.0,0.0,1.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,1.0,,erica carr,https://usdtoreros.com/images/2025/10/15/Erica_Carr_Headshot.png?width=80&quality=90
15,Eva Ruse,San Diego Toreros,F,6-2,So.,"North Vancouver, British Columbia, Canada",FreeAgent,39.0,9.75,18.0,68.0,4.0,15.75,3.75,5.0,0.75,0.5,0.5,0.0,0.5,0.75,1.5,1.5,2.5,10.0,2.5,10.0,2.5,63.0,15.0,20.0,3.0,2.0,2.0,6.0,6.0,10.0,0.0,2.0,3.0,11.0,2.75,,eva ruse,https://usdtoreros.com/images/2025/10/15/Eva_Ruse_Headshot.png?width=80&quality=90
19,Jayden Rhodes,San Diego Toreros,G,5-11,Sr.,"Keller, TX",UserTeam1,51.0,17.0,36.0,51.0,3.0,14.33,7.33,3.0,0.67,0.67,0.33,1.33,2.33,0.0,0.33,3.0,5.0,5.0,1.67,4.0,1.33,43.0,22.0,9.0,2.0,2.0,1.0,1.0,9.0,15.0,4.0,7.0,0.0,0.0,0.0,Morehead State,jayden rhodes,https://usdtoreros.com/images/2025/10/15/Jayden_Rhodes_Head_Shot.png?width=80&quality=90
20,Hallie Rhodes,San Diego Toreros,G,5-11,Sr.,"Keller, TX",FreeAgent,65.0,16.25,19.0,27.5,4.0,25.5,9.5,3.25,1.25,1.25,0.5,0.5,2.5,1.0,1.5,4.0,10.25,5.0,1.25,8.0,2.0,102.0,38.0,13.0,5.0,5.0,2.0,6.0,16.0,41.0,2.0,10.0,4.0,5.0,1.25,Morehead State,hallie rhodes,https://usdtoreros.com/images/2025/10/15/Hallie_Rhodes_Head_Shot.png?width=80&quality=90
22,Ayla Williams,San Diego Toreros,C,6-0,Fr.,"Las Vegas, NV",FreeAgent,27.0,6.75,4.0,89.5,4.0,10.75,1.25,3.5,0.75,0.25,0.75,0.0,0.0,1.25,0.75,0.0,0.5,5.0,1.25,9.0,2.25,43.0,5.0,14.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,5.0,12.0,3.0,,ayla williams,https://usdtoreros.com/images/2025/10/15/Ayla_Williams_Headshot.png?width=80&quality=90
24,Olivia Owens,San Diego Toreros,G,5-10,Fr.,"Columbus, OH",FreeAgent,51.0,12.75,36.0,51.0,4.0,21.5,6.25,2.5,1.75,1.75,0.0,1.0,3.75,1.25,1.75,2.0,7.0,5.0,1.25,5.0,1.25,86.0,25.0,10.0,7.0,7.0,0.0,7.0,8.0,28.0,4.0,15.0,5.0,6.0,1.5,,olivia owens,https://usdtoreros.com/images/2025/10/15/Olivia_Owens_Head_Shot.png?width=80&quality=90
