Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC
Natasa Tausova,#12,San Francisco Dons,San Diego Toreros,1,01/02/26,28,1,5,6,1,0,0,4,4,3,4,2,3,1,3,1.0,9,14.0,True
Noelia Mourio,#3,San Francisco Dons,San Diego Toreros,1,01/02/26,27,2,7,9,1,2,1,4,3,4,6,0,0,1,2,0.667,9,28.0,True
Aina Cargol,#9,San Francisco Dons,San Diego Toreros,1,01/02/26,35,1,3,4,6,1,0,3,1,4,8,2,4,2,4,0.625,12,35.0,True
Candy Edokpaigbe,#23,San Francisco Dons,San Diego Toreros,1,01/02/26,38,1,5,6,1,1,3,3,1,5,8,2,2,5,8,0.75,17,43.0,True
Mara Neira,#2,San Francisco Dons,San Diego Toreros,1,01/02/26,31,2,1,3,2,1,0,0,1,3,13,1,9,0,0,0.269,7,10.0,True
Nevaeh Ferrara Horne,#7,San Francisco Dons,San Diego Toreros,1,01/02/26,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,3.0,True
Sol Castro,#24,San Francisco Dons,San Diego Toreros,1,01/02/26,13,1,1,2,1,0,0,0,1,2,6,0,0,1,2,0.333,5,10.0,True
Meghan McIntyre,#4,San Francisco Dons,San Diego Toreros,1,01/02/26,11,1,4,5,1,0,0,1,0,0,1,0,1,0,0,0.0,0,4.0,True
Paula Tirado,#22,San Francisco Dons,San Diego Toreros,1,01/02/26,13,0,1,1,1,1,0,2,3,0,2,0,2,0,0,0.0,0,-0.0,True
Olivia Williams,#21,San Francisco Dons,San Diego Toreros,1,01/02/26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,True
Ayla Williams,#22,San Diego Toreros,San Francisco Dons,0,01/02/26,5,0,1,1,0,0,0,1,3,0,1,0,0,2,2,0.0,2,0.0,True
Olivia Owens,#24,San Diego Toreros,San Francisco Dons,0,01/02/26,28,0,3,3,2,0,1,3,2,3,10,0,3,0,1,0.3,6,6.0,True
