Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,PTS,FantasyPts,isWCC
Dresha Moore,#1,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,13,1,0,1,1,0,0,1,3,1,3,0,1,0,0,2,2,True
Helen Holley,#10,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,27,1,1,2,1,3,1,3,3,1,4,0,2,0,2,2,10,True
Malia Tharpe,#11,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,13,0,1,1,0,0,0,0,2,0,2,0,1,0,0,0,-2,True
Kylie Ray,#6,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,38,1,8,9,3,3,0,9,2,7,22,3,7,3,4,20,22,True
Hallie Rhodes,#20,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,30,2,3,5,2,1,2,1,2,5,12,0,1,4,5,14,29,True
Eva Ruse,#15,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,26,0,3,3,1,1,1,1,1,1,4,0,2,0,2,2,7,True
Ayla Williams,#22,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,11,1,2,3,0,0,1,3,3,0,1,0,0,3,6,3,-1,True
Erica Carr,#12,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,True
Olivia Owens,#24,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,18,3,3,6,1,4,0,1,2,0,6,0,2,1,2,1,15,True
Lilly Amor,#3,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,17,0,1,1,0,1,0,2,0,2,2,0,0,0,0,4,7,True
Jayden Rhodes,#19,San Diego Toreros,Cal State Northridge Matadors,0,11/08/25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Mariona Cos-Morales,#24,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,20,1,5,6,0,1,0,2,0,2,6,0,2,0,0,4,7,False
Nadia Bernard,#34,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,16,3,1,4,1,0,1,3,6,2,4,0,0,0,0,4,9,False
Laini Dahlin,#22,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,9,3,1,4,1,1,0,0,0,2,3,0,0,0,0,4,17,False
Rita Nazario,#33,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,34,0,3,3,2,3,0,4,3,7,12,6,9,1,1,21,40,False
Erika Aspajo,#12,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,27,1,3,4,5,1,1,4,3,2,9,0,4,0,0,4,14,False
Maya Contreras,#23,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,-1,False
Jite Gbemuotor,#0,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,19,3,5,8,0,1,1,0,2,4,7,1,1,2,2,11,29,False
Alondra Lizama,#10,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,17,2,1,3,0,0,0,1,0,1,4,0,2,2,2,4,2,False
Saray White,#2,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,20,3,2,5,2,1,2,3,2,2,6,1,1,3,4,8,22,False
Amya Moody,#1,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,12,0,2,2,3,0,0,1,1,1,4,1,1,0,0,3,12,False
Kelly Tumlin,#3,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,False
Morgan Edwards,#4,Cal State Northridge Matadors,San Diego Toreros,1,11/08/25,20,0,2,2,2,1,1,3,1,0,8,0,5,0,0,0,-3,False
Molly Garnand,#10,Westmont Warriors,Pepperdine Waves,0,11/08/25,23,3,1,4,0,0,2,0,2,2,7,0,1,2,2,6,12,False
Lisa Kiefer,#12,Westmont Warriors,Pepperdine Waves,0,11/08/25,15,2,2,4,1,0,0,2,2,1,1,0,0,2,2,4,8,False
Bailey Fong,#5,Westmont Warriors,Pepperdine Waves,0,11/08/25,25,0,0,0,0,1,0,0,1,1,9,1,4,2,4,5,-2,False
Sage Kramer,#3,Westmont Warriors,Pepperdine Waves,0,11/08/25,25,1,2,3,1,1,1,2,1,2,7,1,2,2,2,7,13,False
Mariah Brown,#2,Westmont Warriors,Pepperdine Waves,0,11/08/25,30,0,2,2,4,0,0,3,1,3,7,2,3,0,0,8,16,False
Jazmyn Shipp,#22,Westmont Warriors,Pepperdine Waves,0,11/08/25,25,1,5,6,0,2,1,1,2,5,9,2,4,1,2,13,28,False
Annie Gibbons,#4,Westmont Warriors,Pepperdine Waves,0,11/08/25,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,False
Skyler Knight,#25,Westmont Warriors,Pepperdine Waves,0,11/08/25,18,0,3,3,1,0,0,1,0,0,5,0,5,2,2,2,-4,False
Navine Mallon,#24,Westmont Warriors,Pepperdine Waves,0,11/08/25,14,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,5,False
Noemie Bariteau,#1,Westmont Warriors,Pepperdine Waves,0,11/08/25,22,0,3,3,3,1,0,2,1,0,7,0,4,3,4,3,3,False
Shorna Preston,#12,Pepperdine Waves,Westmont Warriors,1,11/08/25,21,5,4,9,2,1,2,2,1,3,9,0,3,0,0,6,22,True
Irune Orio,#31,Pepperdine Waves,Westmont Warriors,1,11/08/25,22,2,3,5,2,0,0,1,2,0,3,0,2,0,0,0,5,True
Ellison Guiney,#2,Pepperdine Waves,Westmont Warriors,1,11/08/25,25,3,2,5,3,0,0,1,1,6,10,3,4,0,0,15,32,True
Taija Sta. Maria,#1,Pepperdine Waves,Westmont Warriors,1,11/08/25,30,0,2,2,3,2,0,0,1,3,3,0,0,0,2,6,27,True
Meghan Fiso,#13,Pepperdine Waves,Westmont Warriors,1,11/08/25,20,1,6,7,2,1,0,3,1,3,6,1,1,2,2,9,22,True
Zoe Shanahan,#44,Pepperdine Waves,Westmont Warriors,1,11/08/25,9,0,0,0,1,0,0,1,4,1,2,0,0,2,2,4,6,True
Seleh Harmon,#30,Pepperdine Waves,Westmont Warriors,1,11/08/25,25,0,4,4,4,0,0,1,0,3,10,2,6,0,0,8,17,True
Quinn VanSickle,#11,Pepperdine Waves,Westmont Warriors,1,11/08/25,9,0,2,2,1,0,0,0,2,2,6,2,5,0,0,6,9,True
Ilinca Belegante,#10,Pepperdine Waves,Westmont Warriors,1,11/08/25,4,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,-5,True
Bella Green,#3,Pepperdine Waves,Westmont Warriors,1,11/08/25,16,3,4,7,0,2,1,1,4,6,10,1,1,0,0,13,33,True
Ivory Finley,#0,Pepperdine Waves,Westmont Warriors,1,11/08/25,19,1,0,1,4,0,0,3,1,3,5,1,3,0,0,7,15,True
Lauren Whittaker,#33,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,22,0,6,6,2,0,0,2,3,5,6,0,0,6,6,16,29,True
Taylor Smith,#20,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,29,0,5,5,2,1,1,4,3,2,6,0,2,0,0,4,11,True
Zeryhia Aokuso,#55,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,20,1,1,2,3,1,0,2,2,3,7,0,1,0,0,6,16,True
Allie Turner,#11,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,37,0,1,1,5,0,0,3,0,4,5,2,3,6,6,16,31,True
Ines Bettencourt,#8,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,27,1,1,2,2,1,0,1,1,3,8,1,2,2,2,9,18,True
Jaiden Haile,#23,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,15,0,2,2,0,0,1,0,1,2,3,0,0,0,1,4,10,True
McKynnlie Dalan,#22,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,11,1,1,2,1,1,0,1,1,0,3,0,1,0,0,0,4,True
Sierra Lichtie,#4,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,4,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,4,True
Julia Wilson,#3,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,15,0,2,2,0,2,0,1,1,1,3,1,1,2,2,5,14,True
Paige Lofing,#1,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,True
Teryn Gardner,#24,Gonzaga Bulldogs,Toledo Rockets,1,11/09/25,18,1,0,1,0,0,0,0,2,4,6,4,6,0,0,12,18,True
Evalyse Cole,#10,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,31,2,3,5,1,1,0,0,1,4,9,3,6,1,2,12,22,False
Miriam Diala,#21,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,31,2,2,4,4,1,0,2,4,6,8,0,0,2,2,14,34,False
Faith Fedd-Robinson,#2,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,27,2,1,3,2,0,1,2,2,5,7,1,1,0,0,11,23,False
Kendall Carruthers,#4,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,29,1,2,3,2,3,0,3,3,7,17,1,5,0,0,15,24,False
Patricia Anumgba,#8,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,30,1,1,2,4,0,0,0,2,3,9,1,2,0,0,7,18,False
Lizzy Puot,#13,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
Evyn Carrier,#32,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,6,0,3,3,0,0,0,1,4,0,0,0,0,2,2,2,3,False
Elisha Dykstra,#22,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,False
Cadence Dykstra,#24,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-3,False
Ella Weaver,#12,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,19,1,2,3,0,3,0,3,3,2,6,1,5,0,0,5,9,False
Alexa Hocevar,#5,Toledo Rockets,Gonzaga Bulldogs,0,11/09/25,13,0,0,0,1,0,0,1,0,1,4,1,2,0,0,3,2,False
Olivia Bradley,#5,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,23,1,6,7,2,1,2,1,1,6,11,1,3,1,2,14,35,False
Zoe Borter,#2,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,24,1,4,5,2,1,0,0,0,8,12,1,3,1,2,18,36,False
Zoe Shaw,#23,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,28,1,6,7,4,1,0,0,0,7,11,5,9,0,0,19,47,False
Maddie Naro,#12,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,26,1,3,4,2,0,0,0,2,3,4,0,0,2,3,8,20,False
Skylar Burke,#55,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,25,0,2,2,4,0,1,0,1,1,7,0,1,0,0,2,14,False
Júlia Puente-Valverde,#4,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,11,0,3,3,1,1,0,1,4,2,5,0,1,0,0,4,11,False
Helena Shum-Koubek,#22,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,3,False
Valentina Penna,#21,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,3,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,4,False
Chauncey Andersen,#15,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,19,1,3,4,2,1,0,1,3,5,9,4,7,0,1,14,28,False
Ava Rawlins,#8,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,13,0,1,1,0,0,1,2,1,0,2,0,2,0,0,0,-3,False
Malani Mastora,#35,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,False
Bojana Radnjic,#44,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,6,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,False
Jessica Grant,#32,UC Santa Barbara Gauchos,Seattle U Redhawks,1,11/09/25,16,0,2,2,3,0,0,2,2,2,3,2,3,0,0,6,16,False
Tamia Stricklin,#14,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,19,3,7,10,1,0,2,0,2,2,11,0,4,1,1,5,13,True
Jana Vesic,#9,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,36,0,1,1,3,0,0,5,2,7,13,2,4,1,3,17,16,True
Dylan Mogel,#5,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,27,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,4,True
Sydnie Rodriguez,#24,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,21,1,3,4,1,1,1,4,2,0,3,0,3,2,2,2,2,True
Ella Brubaker,#3,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,25,0,4,4,0,1,0,3,3,3,8,2,4,5,5,13,13,True
Fia Proctor,#4,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,13,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,True
Lucija Milkovic,#7,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,11,1,2,3,0,0,0,2,1,3,5,0,0,0,0,6,6,True
Chloe Emanga,#8,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,25,0,3,3,0,1,0,0,1,1,8,0,2,0,0,2,1,True
Aaliyah Ibarra,#21,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,12,0,2,2,0,1,0,0,1,1,3,0,1,0,0,2,6,True
Lucy Larson,#22,Seattle U Redhawks,UC Santa Barbara Gauchos,0,11/09/25,11,0,0,0,0,1,0,2,2,0,2,0,2,0,0,0,-4,True
Noelia Mourio,#3,San Francisco Dons,Boise State Broncos,0,11/09/25,21,2,5,7,2,0,0,4,1,3,6,0,1,5,10,11,10,True
Aina Cargol,#9,San Francisco Dons,Boise State Broncos,0,11/09/25,27,0,1,1,3,1,0,4,0,3,6,2,4,1,2,9,14,True
Meghan McIntyre,#4,San Francisco Dons,Boise State Broncos,0,11/09/25,31,0,6,6,3,2,0,3,3,1,8,0,3,1,2,3,10,True
Candy Edokpaigbe,#23,San Francisco Dons,Boise State Broncos,0,11/09/25,22,2,0,2,1,1,3,5,5,3,4,2,2,0,2,8,18,True
Mara Neira,#2,San Francisco Dons,Boise State Broncos,0,11/09/25,17,2,1,3,1,1,0,1,1,3,10,2,8,0,0,8,8,True
Sophia Priestley,#32,San Francisco Dons,Boise State Broncos,0,11/09/25,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,4,True
Natasa Tausova,#12,San Francisco Dons,Boise State Broncos,0,11/09/25,21,0,0,0,1,2,0,1,1,3,7,0,4,0,2,6,8,True
Nevaeh Ferrara Horne,#7,San Francisco Dons,Boise State Broncos,0,11/09/25,13,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-3,True
Michelle Ugwah,#14,San Francisco Dons,Boise State Broncos,0,11/09/25,18,0,6,6,3,2,1,0,4,3,7,0,0,1,2,7,31,True
Amy Pateman,#10,San Francisco Dons,Boise State Broncos,0,11/09/25,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,-1,True
Paula Tirado,#22,San Francisco Dons,Boise State Broncos,0,11/09/25,26,0,0,0,0,0,0,2,2,5,10,3,3,0,0,13,12,True
Libby Hutton,#9,Boise State Broncos,San Francisco Dons,1,11/09/25,29,3,6,9,1,0,1,2,3,4,10,0,0,0,0,8,18,False
Tatum Thompson,#0,Boise State Broncos,San Francisco Dons,1,11/09/25,29,1,2,3,2,3,0,4,4,5,12,0,0,7,8,17,28,False
Natalie Pasco,#32,Boise State Broncos,San Francisco Dons,1,11/09/25,34,0,3,3,1,0,0,0,1,7,11,4,7,4,4,22,33,False
Dani Bayes,#4,Boise State Broncos,San Francisco Dons,1,11/09/25,31,3,3,6,5,3,1,3,1,7,15,4,8,2,2,20,50,False
Mya Hansen,#14,Boise State Broncos,San Francisco Dons,1,11/09/25,32,0,2,2,9,1,1,5,4,4,6,2,3,2,2,12,42,False
Mason Borcherding,#21,Boise State Broncos,San Francisco Dons,1,11/09/25,3,2,2,4,0,0,0,1,1,0,2,0,0,0,0,0,1,False
Izzie Harms,#7,Boise State Broncos,San Francisco Dons,1,11/09/25,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,False
Josee Steadman,#25,Boise State Broncos,San Francisco Dons,1,11/09/25,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-2,False
Kenna Garza,#22,Boise State Broncos,San Francisco Dons,1,11/09/25,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,False
Madeline Cooke,#10,Boise State Broncos,San Francisco Dons,1,11/09/25,17,0,3,3,0,0,2,0,0,2,4,0,0,0,0,4,14,False
Keirra Thompson,#35,Boise State Broncos,San Francisco Dons,1,11/09/25,6,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,7,False
Jayda Lewis,#24,Boise State Broncos,San Francisco Dons,1,11/09/25,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,False
Morgan Maldonado,#3,Boise State Broncos,San Francisco Dons,1,11/09/25,12,0,4,4,0,1,0,2,0,0,0,0,0,0,0,0,5,False
Tegan Gaines,#10,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,31,0,4,4,1,0,0,2,0,3,7,2,5,0,0,8,9,False
Athena Brombacher,#23,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,30,1,3,4,5,3,2,1,2,2,5,0,0,1,3,5,37,False
Anyce Jefferson,#15,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,8,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,False
Deonna Mayfield,#14,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,14,0,2,2,1,2,0,2,0,1,6,0,1,1,2,3,6,False
Geriah Bradley,#5,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,26,0,1,1,1,0,0,6,4,1,8,0,0,0,0,2,-12,False
Tiera O'Connor,#11,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,False
Malea Scobie,#12,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,13,0,3,3,0,0,1,1,0,0,2,0,0,0,0,0,2,False
Samantha Myhr,#13,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,21,0,1,1,0,1,0,0,1,3,8,3,8,0,0,9,10,False
Paris Kaea,#4,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,9,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2,5,False
Gianna Dart,#3,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,20,0,4,4,2,3,0,0,2,1,7,1,6,0,0,3,16,False
Simone Murray,#2,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,10,2,0,2,0,1,0,0,0,1,4,1,2,0,0,3,7,False
Leilani Blecha,#33,San Francisco State Gators,Saint Mary's Gaels,0,11/09/25,13,0,2,2,2,0,0,0,2,1,5,1,3,0,0,3,7,False
Edie Clarke,#7,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,17,3,3,6,0,5,1,1,1,4,6,0,0,0,1,8,37,True
Abigail Shoff,#5,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,16,2,5,7,4,1,0,1,2,0,7,0,3,0,0,0,12,True
Melesungu Afeaki,#22,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,10,1,2,3,1,0,1,0,0,0,3,0,0,0,0,0,7,True
Emily Foy,#8,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,18,0,2,2,2,0,0,1,0,3,7,1,3,0,0,7,12,True
Malia Latu,#13,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,24,1,1,2,3,1,1,5,1,3,4,0,0,0,0,6,17,True
Georgia Grigoropoulou,#10,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,10,2,2,4,0,0,0,0,1,1,1,0,0,3,4,5,10,True
Coco Urlacher,#11,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,14,1,1,2,0,1,0,0,1,0,3,0,3,0,0,0,1,True
Addi Wedin,#23,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,16,0,3,3,0,0,0,0,0,3,6,3,4,0,0,9,15,True
Mauriana Hashemian-Orr,#3,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,18,0,7,7,5,3,0,1,1,5,8,0,1,0,0,10,44,True
Amy Kurkowski,#2,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,10,1,2,3,2,0,1,0,0,2,4,1,3,3,3,8,20,True
Jada Hunter,#0,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,18,2,2,4,4,1,0,1,2,0,5,0,0,2,2,2,16,True
Ella Wedin,#33,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,16,2,0,2,1,0,0,1,0,5,7,4,5,0,0,14,24,True
Charlece Ohiaeri,#4,Saint Mary's Gaels,San Francisco State Gators,1,11/09/25,13,1,0,1,0,0,0,1,0,4,8,0,1,0,0,8,7,True
Brooke Murrell,#0,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,20,3,3,6,2,1,0,1,4,1,3,0,0,1,2,3,15,False
Ana Conde,#13,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,17,2,3,5,1,0,0,0,3,2,4,0,0,2,2,6,14,False
Tori Baker,#3,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,25,1,0,1,0,0,0,2,1,2,4,0,1,2,2,6,2,False
Coryn Watts,#10,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,38,1,4,5,2,1,0,4,2,9,19,2,8,3,5,23,23,False
Laia Monclova,#12,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,28,0,2,2,2,2,0,4,3,2,6,0,1,0,0,4,9,False
Teodora Simoncevic,#9,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Laila McLeod,#1,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,6,0,1,1,0,0,1,1,1,0,2,0,1,0,0,0,-1,False
Lily Esparza,#32,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,18,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,False
Jocelyn Medina,#15,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,23,2,2,4,1,1,1,4,3,4,9,2,4,2,2,12,17,False
Karolina Padilla,#11,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,21,3,1,4,1,0,0,2,1,1,5,1,2,0,0,3,3,False
Maya Hernandez,#55,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,34,5,5,10,3,4,3,2,1,11,19,0,1,3,4,25,67,True
Ivana Krajina,#13,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,25,0,0,0,1,2,0,3,4,2,4,2,3,0,0,6,13,True
Jess Lawson,#0,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,29,2,4,6,2,1,0,0,4,2,8,1,3,3,4,8,19,True
Andjela Matic,#28,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,35,2,2,4,6,1,0,0,2,1,6,0,2,3,5,5,24,True
Carly Heidger,#5,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,31,2,3,5,3,1,0,1,3,3,7,1,2,1,1,8,24,True
Kayla Jones,#24,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,15,0,2,2,2,0,0,2,2,1,6,0,1,0,0,2,2,True
Zawadi Ogot,#54,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,12,1,2,3,1,0,0,1,1,2,4,0,0,0,0,4,9,True
Mari Somvichian,#2,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,19,0,0,0,0,1,0,1,4,2,4,2,4,0,0,6,9,True
Emily Adams,#31,Air Force Falcons,Oregon State Beavers,0,11/10/25,16,0,1,1,0,0,0,2,4,4,10,0,0,0,0,8,3,False
Keelie O'Hollaren,#13,Air Force Falcons,Oregon State Beavers,0,11/10/25,35,0,1,1,1,3,0,0,2,5,13,3,8,0,0,13,24,False
Jayda McNabb,#10,Air Force Falcons,Oregon State Beavers,0,11/10/25,31,6,1,7,1,2,0,2,3,2,6,0,3,0,0,4,13,False
Alexis Cortez,#1,Air Force Falcons,Oregon State Beavers,0,11/10/25,37,1,2,3,1,2,0,0,3,0,8,0,2,0,0,0,4,False
Milahnie Perry,#2,Air Force Falcons,Oregon State Beavers,0,11/10/25,29,1,3,4,5,2,1,2,2,3,11,0,3,4,4,10,28,False
Bhret Clay,#14,Air Force Falcons,Oregon State Beavers,0,11/10/25,25,2,2,4,0,1,0,1,0,1,3,1,1,0,2,3,7,False
Maddy Jensen,#9,Air Force Falcons,Oregon State Beavers,0,11/10/25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,False
Marissa Hargrave,#24,Air Force Falcons,Oregon State Beavers,0,11/10/25,7,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,False
Jordyn DeVaughn,#0,Air Force Falcons,Oregon State Beavers,0,11/10/25,19,1,2,3,2,1,0,0,4,3,11,0,5,5,7,11,12,False
Nene Sow,#32,Oregon State Beavers,Air Force Falcons,1,11/10/25,16,2,7,9,0,0,1,0,0,2,3,0,0,1,2,5,18,True
Ally Schimel,#4,Oregon State Beavers,Air Force Falcons,1,11/10/25,34,0,2,2,0,0,0,4,1,4,7,4,6,0,0,12,10,True
Jenna Villa,#3,Oregon State Beavers,Air Force Falcons,1,11/10/25,23,0,1,1,3,0,0,0,1,0,2,0,2,0,0,0,7,True
Kennedie Shuler,#1,Oregon State Beavers,Air Force Falcons,1,11/10/25,36,0,4,4,8,1,1,4,2,2,6,0,2,1,8,5,22,True
Tiara Bolden,#0,Oregon State Beavers,Air Force Falcons,1,11/10/25,33,1,5,6,1,1,0,4,3,8,13,3,7,4,5,23,30,True
Lara Alonso-Basurto,#22,Oregon State Beavers,Air Force Falcons,1,11/10/25,31,5,7,12,0,0,1,3,1,4,8,0,3,3,4,11,17,True
Lizzy Williamson,#15,Oregon State Beavers,Air Force Falcons,1,11/10/25,15,1,4,5,0,1,1,0,0,2,2,0,0,0,0,4,19,True
Keira Lindemans,#25,Oregon State Beavers,Air Force Falcons,1,11/10/25,8,1,1,2,0,0,0,3,0,0,2,0,1,0,0,0,-6,True
Cloe Vecina,#31,Oregon State Beavers,Air Force Falcons,1,11/10/25,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,-1,True
Ava Schmidt,#13,Santa Clara Broncos,Texas A&M-Corpus Christi Islanders,1,11/11/25,24,0,2,2,2,0,1,1,1,5,10,3,6,0,0,13,23,True
Kylee Fox,#30,Santa Clara Broncos,Texas A&M-Corpus Christi Islanders,1,11/11/25,29,1,2,3,1,0,0,1,0,6,10,2,5,2,2,16,22,True
Sophie Glancey,#12,Santa Clara Broncos,Texas A&M-Corpus Christi Islanders,1,11/11/25,25,1,4,5,0,3,5,1,2,8,10,1,2,3,4,20,56,True
Ashley Hawkins,#23,Santa Clara Broncos,Texas A&M-Corpus Christi Islanders,1,11/11/25,27,3,2,5,6,1,0,1,2,5,11,0,3,2,3,12,33,True
Maia Jones,#9,Santa Clara Broncos,Texas A&M-Corpus Christi Islanders,1,11/11/25,22,0,2,2,5,1,1,2,4,2,8,1,6,3,4,8,20,True
