#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
0,Ivory Finley,Pepperdine Waves,G,5-10,Gr.,"Minneapolis, MN",FreeAgent,101.0,7.77,63.5,98.5,13.0,13.23,4.08,0.512,1.46,0.92,0.38,0.08,0.54,1.85,0.77,1.38,1.38,3.23,7.0,0.54,12.0,0.92,172.0,53.0,19.0,12.0,5.0,1.0,18.0,18.0,42.0,7.0,24.0,10.0,14.0,1.08,10.0,Utah State,ivory finley,https://daitadul56i2n.cloudfront.net/images/2025/9/26/0_ivory.jpg?width=80&quality=90
1,Taija Sta. Maria,Pepperdine Waves,G,5-6,Jr.,"Toronto, Ontario, Canada",UserTeam3,259.0,17.27,31.0,48.0,15.0,30.93,6.27,0.434,2.27,3.2,0.87,0.0,0.27,1.4,1.47,2.07,2.27,5.53,5.0,0.33,29.0,1.93,464.0,94.0,34.0,48.0,13.0,0.0,31.0,34.0,83.0,4.0,21.0,22.0,33.0,2.2,10.0,Fresno State,taija sta. maria,https://daitadul56i2n.cloudfront.net/images/2025/9/26/1_taija.jpg?width=80&quality=90
2,Ellison Guiney,Pepperdine Waves,G,5-11,So.,"Goodyear, AZ",UserTeam2,435.0,29.0,12.0,19.0,15.0,31.27,13.93,0.563,3.53,3.0,0.8,0.33,2.07,5.2,2.67,2.67,4.6,10.0,19.0,1.27,34.0,2.27,469.0,209.0,53.0,45.0,12.0,5.0,40.0,69.0,150.0,31.0,78.0,40.0,48.0,3.2,10.0,UNLV,ellison guiney,https://daitadul56i2n.cloudfront.net/images/2025/9/26/2_guiney.jpg?width=80&quality=90
3,Bella Green,Pepperdine Waves,G,6-0,Gr.,"Perth, Australia",UserTeam5,181.0,12.07,47.5,73.5,15.0,13.47,4.8,0.449,5.47,0.6,0.4,0.2,0.13,0.47,0.67,1.67,2.0,4.6,22.0,1.47,60.0,4.0,202.0,72.0,82.0,9.0,6.0,3.0,25.0,30.0,69.0,2.0,7.0,10.0,13.0,0.87,10.0,University of West Florida,bella green,https://daitadul56i2n.cloudfront.net/images/2025/9/26/3_green.jpg?width=80&quality=90
10,Ilinca Belegante,Pepperdine Waves,G,6-0,Fr.,"Bucharest, Romania",FreeAgent,1.0,0.14,88.5,145.5,7.0,2.0,0.71,0.375,0.0,0.0,0.0,0.0,0.14,0.57,0.29,0.29,0.14,0.57,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,0.43,5.0,,ilinca belegante,https://daitadul56i2n.cloudfront.net/images/2025/9/26/10_Ilinca.jpg?width=80&quality=90
11,Quinn VanSickle,Pepperdine Waves,G,5-8,Fr.,"Castle Rock, CO",FreeAgent,6.0,2.0,86.0,143.0,3.0,7.33,2.0,0.429,1.0,0.33,0.0,0.0,0.67,2.0,0.0,0.67,0.67,2.33,1.0,0.33,2.0,0.67,22.0,6.0,3.0,1.0,0.0,0.0,2.0,2.0,7.0,2.0,6.0,0.0,0.0,0.0,2.0,,quinn vansickle,https://daitadul56i2n.cloudfront.net/images/2025/9/26/11_quinn.jpg?width=80&quality=90
12,Shorna Preston,Pepperdine Waves,F,6-1,Jr.,"Christchurch, New Zealand",UserTeam3,494.0,32.93,5.0,12.0,15.0,24.2,9.67,0.526,9.67,2.13,1.13,1.8,0.73,2.33,1.6,2.73,3.67,7.67,28.0,1.87,117.0,7.8,363.0,145.0,145.0,32.0,17.0,27.0,41.0,55.0,115.0,11.0,35.0,24.0,33.0,2.2,10.0,Dodge City Community College,shorna preston,https://daitadul56i2n.cloudfront.net/images/2025/9/26/12_Shorna.jpg?width=80&quality=90
13,Meghan Fiso,Pepperdine Waves,G,5-10,Gr.,"Seattle, WA",UserTeam4,390.0,26.0,13.5,22.5,15.0,27.67,11.27,0.504,5.67,1.87,0.73,0.4,0.67,1.73,1.93,2.0,4.33,9.27,12.0,0.8,73.0,4.87,415.0,169.0,85.0,28.0,11.0,6.0,30.0,65.0,139.0,10.0,26.0,29.0,40.0,2.67,10.0,San Diego State,meghan fiso,https://daitadul56i2n.cloudfront.net/images/2025/9/26/13_meghan.jpg?width=80&quality=90
22,Lina Falk,Pepperdine Waves,G,6-2,Jr.,"Wolfenbüttel, Germany",UserTeam1,238.0,18.31,38.0,58.0,13.0,25.08,8.08,0.517,4.38,1.23,0.77,0.15,0.62,1.85,1.0,1.69,3.23,6.85,17.0,1.31,40.0,3.08,326.0,105.0,57.0,16.0,10.0,2.0,22.0,42.0,89.0,8.0,24.0,13.0,18.0,1.38,9.0,Sacramento State,lina falk,https://daitadul56i2n.cloudfront.net/images/2025/9/26/22_lina.jpg?width=80&quality=90
30,Seleh Harmon,Pepperdine Waves,G,5-10,Fr.,"Norman, OK",FreeAgent,252.0,16.8,33.0,51.0,15.0,24.27,8.4,0.517,1.73,1.6,0.6,0.27,2.13,5.47,0.27,1.2,3.0,7.87,6.0,0.4,20.0,1.33,364.0,126.0,26.0,24.0,9.0,4.0,18.0,45.0,118.0,32.0,82.0,4.0,5.0,0.33,10.0,,seleh harmon,https://daitadul56i2n.cloudfront.net/images/2025/9/26/30_seleh.jpg?width=80&quality=90
