#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
2,Dyani Ananiev,Portland Pilots,G,6-2,R-So.,"St. Andrews, Australia",UserTeam6,353.0,32.09,11.0,16.0,11.0,23.91,10.55,0.547,3.73,2.64,3.18,0.36,1.73,4.82,1.0,2.36,3.91,8.73,11.0,1.0,30.0,2.73,263.0,116.0,41.0,29.0,35.0,4.0,26.0,43.0,96.0,19.0,53.0,11.0,12.0,1.09,6.0,Wyndham,dyani ananiev,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90
3,Florence Dallow,Portland Pilots,G,6-2,R-So.,"Auckland, New Zealand",UserTeam2,234.0,21.27,22.5,34.5,11.0,19.0,9.91,0.554,4.0,1.64,0.73,0.18,0.91,2.36,2.45,2.09,3.27,6.73,16.0,1.45,28.0,2.55,209.0,109.0,44.0,18.0,8.0,2.0,23.0,36.0,74.0,10.0,26.0,27.0,30.0,2.73,6.0,Epsom Girls Grammar School,florence dallow,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90
5,Aubrey Herrin,Portland Pilots,G,6-1,Fr.,"Kennewick, WA",FreeAgent,83.0,27.67,63.0,97.5,3.0,18.0,6.0,0.75,4.67,2.0,1.33,1.33,0.33,0.33,1.0,1.33,2.33,3.33,3.0,1.0,11.0,3.67,54.0,18.0,14.0,6.0,4.0,4.0,4.0,7.0,10.0,1.0,1.0,3.0,3.0,1.0,2.0,Kamiakin HS,aubrey herrin,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90
7,Tiffany Barbosa,Portland Pilots,G,5-10,So.,"Stockholm, Sweden",FreeAgent,187.0,15.58,33.0,52.0,12.0,18.17,5.5,0.582,2.25,1.33,1.42,0.17,0.58,1.92,0.75,1.58,2.08,4.08,10.0,0.83,17.0,1.42,218.0,66.0,27.0,16.0,17.0,2.0,19.0,25.0,49.0,7.0,23.0,9.0,15.0,1.25,6.0,RIG Lulea,tiffany barbosa,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90
9,Jada Kennedy,Portland Pilots,C,6-5,Fr.,"Melbourne, Australia",FreeAgent,155.0,12.92,4.0,68.0,12.0,9.25,3.67,0.769,2.33,0.92,0.42,0.5,0.0,0.17,0.33,0.83,1.67,2.17,11.0,0.92,17.0,1.42,111.0,44.0,28.0,11.0,5.0,6.0,10.0,20.0,26.0,0.0,2.0,4.0,7.0,0.58,6.0,Siena College,jada kennedy,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90
10,Natalie Fraley,Portland Pilots,G,6-0,Sr.,"Kelso, WA",UserTeam2,177.0,14.75,37.0,57.0,12.0,19.83,4.92,0.418,2.08,2.0,1.0,0.25,0.58,2.08,0.67,1.17,1.83,5.08,6.0,0.5,19.0,1.58,238.0,59.0,25.0,24.0,12.0,3.0,14.0,22.0,61.0,7.0,25.0,8.0,13.0,1.08,6.0,Utah State / Kelso HS,natalie fraley,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90
12,Brynn Smith,Portland Pilots,G,6-0,Fr.,"Eugene, OR",FreeAgent,130.0,10.83,50.0,77.0,12.0,13.42,5.33,0.492,1.25,1.5,1.0,0.08,0.92,2.42,0.42,2.25,2.0,5.0,2.0,0.17,13.0,1.08,161.0,64.0,15.0,18.0,12.0,1.0,27.0,24.0,60.0,11.0,29.0,5.0,6.0,0.5,6.0,Willamette HS,brynn smith,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90
14,Caitlin Monahan,Portland Pilots,G,5-10,R-Fr.,"Mercer Island, WA",FreeAgent,60.0,7.5,69.0,113.0,8.0,7.75,2.0,0.538,1.75,0.5,0.38,0.12,0.25,0.88,0.25,0.25,0.75,1.62,5.0,0.62,9.0,1.12,62.0,16.0,14.0,4.0,3.0,1.0,2.0,6.0,13.0,2.0,7.0,2.0,2.0,0.25,5.0,Mercer Island HS,caitlin monahan,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90
17,Nicole Anderson,Portland Pilots,G,5-8,Gr.,"Eastvale, CA",FreeAgent,84.0,7.0,62.0,96.0,12.0,16.08,6.0,0.412,2.17,1.0,0.25,0.08,1.25,4.75,0.92,1.67,1.92,6.17,3.0,0.25,23.0,1.92,193.0,72.0,26.0,12.0,3.0,1.0,20.0,23.0,74.0,15.0,57.0,11.0,13.0,1.08,6.0,LMU / SMU / Rosary Academy,nicole anderson,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90
20,Lainey Spear,Portland Pilots,F,6-2,Jr.,"Portland, OR",UserTeam3,292.0,24.33,9.0,27.0,12.0,21.92,8.17,0.541,4.25,2.42,1.58,0.17,0.08,0.75,1.58,1.83,3.25,6.08,15.0,1.25,36.0,3.0,263.0,98.0,51.0,29.0,19.0,2.0,22.0,39.0,73.0,1.0,9.0,19.0,36.0,3.0,6.0,Beaverton HS,lainey spear,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90
22,Rhyan Mogel,Portland Pilots,G,5-10,Jr.,"Happy Valley, OR",UserTeam3,315.0,28.64,13.0,20.0,11.0,25.09,8.73,0.537,2.36,4.36,1.45,0.27,1.0,2.18,2.09,2.18,2.82,6.18,3.0,0.27,23.0,2.09,276.0,96.0,26.0,48.0,16.0,3.0,24.0,31.0,68.0,11.0,24.0,23.0,27.0,2.45,6.0,Clackamas HS,rhyan mogel,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90
