#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,ImageURL
2,Katelyn Field,Oregon State Beavers,G,5-11,Fr.,"Melbourne, Australia",FreeAgent,36.0,3.6,75.0,119.0,10.0,6.6,2.2,0.6,0.2,0.4,0.2,0.4,1.4,0.6,0.6,0.6,2.0,1.0,0.1,5.0,0.5,66.0,22.0,6.0,2.0,4.0,2.0,6.0,6.0,20.0,4.0,14.0,6.0,6.0,0.6,,katelyn field,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2FKF_Headshot.jpg&width=603&height=803&gravity=north&type=webp
3,Jenna Villa,Oregon State Beavers,G,6-1,Jr.,"Arlington, WA",UserTeam2,284.0,21.85,12.0,17.5,13.0,32.0,13.31,4.77,1.92,0.85,0.38,1.54,5.23,3.31,1.54,4.23,10.08,16.0,1.23,46.0,3.54,416.0,173.0,62.0,25.0,11.0,5.0,20.0,55.0,131.0,20.0,68.0,43.0,47.0,3.62,,jenna villa,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2F25WBB_Recruit_Jenna_Villa_0009.jpg&width=603&height=803&gravity=north&type=webp
4,Ally Schimel,Oregon State Beavers,G,5-10,So.,"Corbett, OR",UserTeam1,131.0,10.08,46.0,70.0,13.0,27.62,7.08,2.38,0.31,0.69,0.31,1.85,4.0,0.15,1.38,2.54,6.38,4.0,0.31,27.0,2.08,359.0,92.0,31.0,4.0,9.0,4.0,18.0,33.0,83.0,24.0,52.0,2.0,5.0,0.38,,ally schimel,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-6.jpg&width=603&height=803&gravity=north&type=webp
7,Lucia Navarro,Oregon State Beavers,G,6-0,Jr.,"Valencia, Spain",FreeAgent,-8.0,-4.0,100.0,162.0,2.0,5.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.5,2.0,1.0,1.0,0.5,11.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,,lucia navarro,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-12.jpg&width=603&height=803&gravity=north&type=webp
10,Susana Yepes,Oregon State Beavers,F,6-0,R-Sr.,"Medellin, Colombia",UserTeam4,19.0,2.38,42.5,131.5,8.0,9.25,1.12,0.88,0.88,0.0,0.0,0.38,1.12,0.0,0.75,0.38,1.75,2.0,0.25,5.0,0.62,74.0,9.0,7.0,7.0,0.0,0.0,6.0,3.0,14.0,3.0,9.0,0.0,0.0,0.0,,susana yepes,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-11.jpg&width=603&height=803&gravity=north&type=webp
12,Mackenzie Shivers,Oregon State Beavers,G,5-6,R-Jr.,"Mesa, AZ",FreeAgent,-1.0,-0.25,96.5,158.5,4.0,3.25,0.25,0.25,0.25,0.0,0.0,0.0,0.75,0.25,0.0,0.0,1.25,1.0,0.25,0.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,2.0,0.5,,mackenzie shivers,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-8.jpg&width=603&height=803&gravity=north&type=webp
15,Lizzy Williamson,Oregon State Beavers,F,6-5,Gr.,"Adelaide, Australia",UserTeam5,183.0,14.08,14.0,44.5,13.0,17.08,5.38,4.85,0.69,0.38,0.92,0.0,0.08,0.92,1.08,2.23,4.85,24.0,1.85,39.0,3.0,222.0,70.0,63.0,9.0,5.0,12.0,14.0,29.0,63.0,0.0,1.0,12.0,19.0,1.46,,lizzy williamson,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F16%2F25WBB_Recruit_Lizzy_Williamson_0037.jpg&width=603&height=803&gravity=north&type=webp
16,Elisa Mehyar,Oregon State Beavers,F,6-5,So.,"Copenhagen, Denmark",FreeAgent,16.0,2.29,44.0,135.0,7.0,4.86,1.29,1.14,0.0,0.0,0.14,0.0,0.0,0.14,0.57,0.57,0.86,3.0,0.43,5.0,0.71,34.0,9.0,8.0,0.0,0.0,1.0,4.0,4.0,6.0,0.0,0.0,1.0,4.0,0.57,,elisa mehyar,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-10.jpg&width=603&height=803&gravity=north&type=webp
22,Lara Alonso-Basurto,Oregon State Beavers,F,6-3,Fr.,"Madrid, Spain",FreeAgent,160.0,12.31,16.0,54.5,13.0,18.23,6.23,4.92,0.46,0.31,1.0,0.31,1.15,1.62,1.46,2.15,4.77,27.0,2.08,37.0,2.85,237.0,81.0,64.0,6.0,4.0,13.0,19.0,28.0,62.0,4.0,15.0,21.0,36.0,2.77,,lara alonso-basurto,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-10.jpg&width=603&height=803&gravity=north&type=webp
25,Keira Lindemans,Oregon State Beavers,G,6-0,Fr.,"Melbourne, Australia",FreeAgent,29.0,3.22,78.0,125.0,9.0,8.56,0.89,0.89,0.33,0.67,0.0,0.11,0.67,0.11,0.89,0.33,1.44,1.0,0.11,7.0,0.78,77.0,8.0,8.0,3.0,6.0,0.0,8.0,3.0,13.0,1.0,6.0,1.0,1.0,0.11,,keira lindemans,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2FKL_Headshot.jpg&width=603&height=803&gravity=north&type=webp
