jerseycolor,games,wins,pts_for,pts_against,avg_margin,lmu_efg,opp_efg,win%
red,4,1.0,66.25,68.25,-1.0,0.471,0.525,0.25
white,4,3.0,74.75,67.25,3.75,0.467,0.514,0.75
black,3,1.0,60.67,61.33,-0.33,0.399,0.512,0.333
blue,2,1.0,73.0,71.0,1.0,0.445,0.501,0.5
gray,1,1.0,63.0,58.0,2.5,0.455,0.523,1.0
