Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Kayla Jones,#24,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,10,1,0,1,1,1,0,0,0,0,3,0,0,0,2,0.0,0,2.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,9,1,2,3,0,1,0,2,1,0,2,0,0,0,0,0.0,0,0.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,22,3,0,3,2,3,0,4,2,5,7,0,0,1,5,0.714,11,25.0,True,0.0
Allison Clarke,#4,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,26,0,0,0,0,0,0,0,0,2,5,2,5,1,2,0.6,7,8.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,17,4,3,7,4,1,1,1,1,3,5,0,0,1,1,0.6,7,36.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,18,2,0,2,4,1,0,1,4,3,7,1,5,0,0,0.5,7,22.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,18,4,4,8,2,1,0,2,1,3,5,0,0,5,6,0.6,11,30.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,23,0,2,2,2,3,0,2,0,7,9,3,5,0,0,0.944,17,46.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,16,1,2,3,0,1,0,0,1,3,7,0,3,0,0,0.429,6,12.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,17,5,1,6,1,0,0,1,3,6,7,0,0,1,2,0.857,13,31.0,True,0.0
Ana Milanovic,#7,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,14,0,1,1,2,1,0,2,2,3,3,0,0,1,1,1.0,7,20.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,14,1,4,5,2,0,0,1,0,1,3,0,0,1,2,0.333,3,12.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,23,2,3,5,0,2,2,2,2,5,13,0,0,0,1,0.385,10,26.0,True,0.0
Allison Clarke,#4,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,25,0,1,1,3,0,0,3,0,0,6,0,6,0,0,0.0,0,-8.0,True,0.0
Lova Lagerlid,#10,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,2.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Chapman Panthers,1,12/16/25,13,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0.0,0,4.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,35,3,2,5,1,1,2,4,4,7,14,0,0,2,4,0.5,16,30.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,16,0,0,0,2,1,0,1,4,0,3,0,2,0,0,0.0,0,2.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,24,3,5,8,2,1,0,2,4,3,7,0,1,2,3,0.429,8,22.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,30,1,2,3,4,0,0,1,0,4,9,2,4,0,0,0.556,10,26.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,30,1,3,4,0,2,0,1,4,3,6,2,4,0,0,0.667,8,20.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,0,-2.0,True,0.0
Ana Milanovic,#7,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,11,0,4,4,1,0,1,2,0,1,2,0,1,0,0,0.5,2,8.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,23,1,0,1,0,0,0,0,2,5,9,0,0,3,3,0.556,13,22.0,True,0.0
Allison Clarke,#4,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,22,0,2,2,3,0,0,1,1,0,6,0,5,3,3,0.0,3,2.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Weber State Wildcats,0,12/20/25,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0,-1.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,26,0,5,5,1,1,0,1,3,4,11,0,1,3,5,0.364,11,20.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,11,1,1,2,2,2,0,0,3,2,3,0,0,0,0,0.667,4,23.0,True,0.0
Allison Clarke,#4,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,19,0,1,1,1,3,0,1,1,1,4,0,1,0,0,0.25,2,13.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Southern Utah Thunderbirds,1,12/21/25,32,0,2,2,0,2,0,1,3,2,7,0,1,5,6,0.286,9,16.0,True,0.0
