Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Olivia Anderson,#23,Washington Huskies,Seattle U Redhawks,1,11/03/25,12,3,0,3,1,0,4,1,1,1,4,0,1,3,4,0.25,5,22,False,0
Shayla Gillmer,#22,Washington Huskies,Seattle U Redhawks,1,11/03/25,12,2,1,3,0,1,1,1,0,1,2,0,0,0,2,0.5,2,10,False,0
Sienna Harvey,#35,Washington Huskies,Seattle U Redhawks,1,11/03/25,16,0,2,2,1,1,0,2,0,6,10,1,2,2,3,0.65,15,28,False,0
Devin Coppinger,#3,Washington Huskies,Seattle U Redhawks,1,11/03/25,22,3,0,3,1,0,0,0,3,1,5,0,3,0,0,0.2,2,4,False,0
Chloe Briggs,#11,Washington Huskies,Seattle U Redhawks,1,11/03/25,23,2,3,5,0,0,0,1,1,2,7,0,2,2,3,0.286,6,6,False,0
Erin Condron,#11,UC San Diego Tritons,Pacific Tigers,0,11/03/25,35,2,6,8,1,1,1,1,2,5,10,0,3,1,3,0.5,11,27,False,0
Lev Feiman,#13,UC San Diego Tritons,Pacific Tigers,0,11/03/25,24,2,2,4,0,4,0,0,1,5,11,1,1,4,4,0.5,15,40,False,0
Dymonique Maxie,#10,UC San Diego Tritons,Pacific Tigers,0,11/03/25,40,1,0,1,4,6,0,4,3,2,11,0,3,6,8,0.182,10,27,False,0
Makayla Rose,#4,UC San Diego Tritons,Pacific Tigers,0,11/03/25,30,0,1,1,1,3,0,1,3,6,12,1,4,3,3,0.542,16,34,False,0
Sabrina Ma,#15,UC San Diego Tritons,Pacific Tigers,0,11/03/25,35,0,2,2,3,1,0,1,2,2,11,1,7,0,0,0.227,5,8,False,0
Niya Price,#24,UC San Diego Tritons,Pacific Tigers,0,11/03/25,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0,-4,False,0
Michaela Fairwell,#2,UC San Diego Tritons,Pacific Tigers,0,11/03/25,15,0,2,2,1,1,1,1,3,1,4,0,2,2,3,0.25,4,10,False,0
Nicki Polocheck,#21,UC San Diego Tritons,Pacific Tigers,0,11/03/25,2,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0.5,2,3,False,0
Junae Mahan,#25,UC San Diego Tritons,Pacific Tigers,0,11/03/25,14,0,0,0,0,0,0,1,2,1,4,1,2,0,0,0.375,3,0,False,0
Gracie Gallegos,#22,UC San Diego Tritons,Pacific Tigers,0,11/03/25,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,False,0
Winner Bartholomew,#25,Pacific Tigers,UC San Diego Tritons,1,11/03/25,27,2,7,9,1,2,0,1,4,3,8,0,0,0,2,0.375,6,22,True,0
Daria Nestorov,#21,Pacific Tigers,UC San Diego Tritons,1,11/03/25,28,0,6,6,3,0,0,4,1,5,7,4,6,1,2,1.0,15,32,True,0
Marina Radocaj,#9,Pacific Tigers,UC San Diego Tritons,1,11/03/25,32,1,9,10,2,1,1,6,4,3,3,0,0,0,0,1.0,6,21,True,0
Stella Szabo,#5,Pacific Tigers,UC San Diego Tritons,1,11/03/25,21,0,3,3,1,0,0,1,2,2,5,2,4,0,0,0.6,6,12,True,0
Sydney Ward,#10,Pacific Tigers,UC San Diego Tritons,1,11/03/25,27,2,4,6,3,0,2,3,3,4,9,2,5,3,4,0.556,13,32,True,0
Tyla Fautua,#32,Pacific Tigers,UC San Diego Tritons,1,11/03/25,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,3,True,0
Luisa Anderegg,#11,Pacific Tigers,UC San Diego Tritons,1,11/03/25,9,0,1,1,0,0,0,2,0,1,2,1,2,0,0,0.75,3,2,True,0
Sophia Mindermann,#8,Pacific Tigers,UC San Diego Tritons,1,11/03/25,18,0,1,1,4,0,0,1,1,1,10,1,7,1,3,0.15,4,2,True,0
Liv Yergensen,#7,Pacific Tigers,UC San Diego Tritons,1,11/03/25,20,1,1,2,0,0,1,2,2,4,7,0,2,0,0,0.571,8,12,True,0
Hannah Burg,#3,Pacific Tigers,UC San Diego Tritons,1,11/03/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,True,0
Nyah Lowery,#15,Pacific Tigers,UC San Diego Tritons,1,11/03/25,15,0,0,0,1,0,1,2,4,3,3,2,2,0,0,1.333,8,20,True,0
Sophie Jimenez,#10,Bethesda University Flames,San Diego Toreros,0,11/03/25,40,0,2,2,1,0,0,2,2,3,9,1,1,2,5,0.389,9,8,False,0
Vanessa Moses,#25,Bethesda University Flames,San Diego Toreros,0,11/03/25,40,0,5,5,0,1,0,0,1,0,2,0,0,0,0,0.0,0,6,False,0
Shyann Morreo,#22,Bethesda University Flames,San Diego Toreros,0,11/03/25,40,0,1,1,1,0,0,3,1,3,19,3,14,2,2,0.237,11,-8,False,0
Mary Gonzales,#2,Bethesda University Flames,San Diego Toreros,0,11/03/25,14,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0.0,0,-10,False,0
Serina Quezada,#7,Bethesda University Flames,San Diego Toreros,0,11/03/25,40,0,4,4,3,0,1,2,2,1,5,1,2,0,0,0.3,3,13,False,0
Helen Holley,#10,San Diego Toreros,Bethesda University Flames,1,11/03/25,7,3,1,4,0,0,1,0,1,0,3,0,0,0,0,0.0,0,6,True,0
Malia Tharpe,#11,San Diego Toreros,Bethesda University Flames,1,11/03/25,10,2,3,5,0,0,0,0,0,1,3,0,0,0,0,0.333,2,8,True,0
Olivia Owens,#24,San Diego Toreros,Bethesda University Flames,1,11/03/25,12,1,0,1,1,1,0,1,0,2,4,0,2,0,0,0.5,4,10,True,0
Kylie Ray,#6,San Diego Toreros,Bethesda University Flames,1,11/03/25,12,0,1,1,6,0,0,2,0,1,4,1,4,0,0,0.375,3,16,True,0
Hallie Rhodes,#20,San Diego Toreros,Bethesda University Flames,1,11/03/25,12,1,1,2,0,0,0,0,0,5,8,1,3,0,0,0.688,11,20,True,0
